Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,A1,A2,F7,F8,T3,T4,T5,T6,Fz,Cz,Pz
2.81,5.99,7.1,1.07,2.47,-1.23,-2.32,1.16,3.14,2.5,5.91,7.44,6.05,1.12,7.8,2.54,1.76,-0.86,3.56,0.95,0.78
3.09,10.13,5.88,2.85,0.24,0.47,-4.92,-1.24,-0.3,-1.36,3.84,3.9,4.26,4.58,3.69,6.98,-0.21,-3.32,2.57,0.55,-1.76
7.51,13.0,8.38,5.78,1.4,-0.9,-4.62,-2.53,-0.87,-0.76,6.49,5.73,6.58,7.83,4.77,3.01,-1.01,-1.99,6.74,-0.85,-2.77
8.71,13.09,9.58,5.73,2.4,-2.41,-5.15,-5.69,-3.69,-5.37,5.53,3.74,7.56,5.8,3.73,0.46,-1.49,-5.91,7.83,-0.9,-4.72
10.14,10.84,11.14,5.66,2.24,-1.77,-2.73,-2.68,-1.36,-2.45,6.93,7.07,7.63,5.12,3.96,0.39,0.9,-3.67,9.53,-0.77,-3.53
6.95,7.69,12.44,4.43,2.59,-1.98,-1.42,-1.73,-0.12,-0.75,4.37,7.58,5.96,2.67,3.7,1.31,3.5,-2.76,7.32,-0.26,-2.31
7.9,9.04,13.63,2.87,4.14,-3.17,-1.41,-2.56,-0.56,-2.72,5.01,6.3,8.47,2.38,8.09,0.37,4.15,-5.25,8.05,0.47,-3.04
7.17,5.25,15.64,0.68,5.59,-4.84,-1.28,-2.22,-0.53,-1.9,5.67,5.71,11.37,0.74,12.45,-2.84,5.46,-5.21,6.39,1.16,-2.38
7.65,8.36,13.14,0.76,4.69,-5.29,-3.19,-2.2,-1.92,-3.64,5.9,3.99,10.59,1.72,12.26,0.52,2.73,-3.95,6.75,-0.24,-3.08
8.63,8.8,12.27,3.03,3.13,-3.83,-4.75,-3.38,-3.24,-5.96,6.24,2.35,7.01,2.53,7.45,1.73,0.37,-3.92,8.09,1.18,-4.31
8.06,8.67,9.89,4.68,0.51,-1.91,-4.14,-2.15,-1.02,-3.11,4.35,1.39,5.81,3.9,5.97,3.47,1.12,-1.85,8.28,0.38,-3.04
6.28,7.0,8.16,3.76,-0.19,-1.35,-0.97,1.85,3.31,1.59,4.47,-0.13,5.06,2.45,6.37,1.19,4.07,2.95,6.54,0.75,0.02
5.96,4.24,6.24,2.38,0.47,-1.53,2.14,2.15,4.68,2.52,6.2,1.94,4.01,1.35,6.79,-0.01,6.99,3.82,5.12,0.63,1.13
2.47,0.35,6.72,-0.16,2.78,-2.71,3.02,1.49,3.57,0.96,3.76,0.17,4.56,-2.14,7.95,-1.52,6.07,2.95,2.32,0.35,2.07
3.85,1.37,8.74,-0.3,3.52,-2.84,3.28,-0.16,3.63,0.92,5.39,-0.39,3.89,-3.14,5.71,-1.12,5.66,1.84,3.57,-0.26,1.01
2.52,2.4,8.39,0.42,2.34,-2.94,0.97,-2.25,0.58,-0.59,-0.15,2.98,2.24,-2.38,5.03,-1.43,1.7,-0.07,2.37,-1.33,-1.97
2.03,-1.46,6.88,-0.33,2.38,-2.32,-0.95,-1.73,-0.65,-0.48,-0.13,-3.37,1.93,-3.78,3.77,-1.57,-0.78,-0.97,2.76,0.38,-1.31
0.9,-0.31,5.54,-1.83,2.61,-3.33,-0.98,-1.36,0.49,1.42,1.63,-0.8,3.32,-3.78,5.2,-2.71,-0.72,-0.47,1.63,1.92,-0.39
0.85,-4.54,3.21,-3.49,0.7,-1.83,-2.57,-0.14,-0.51,1.38,2.16,-0.4,2.64,-4.9,3.1,2.31,-0.82,-1.36,1.09,1.64,-0.41
2.22,0.65,2.92,-0.95,-0.06,0.47,-4.6,-0.12,-3.51,-1.34,-1.01,-3.7,1.18,-1.36,-0.46,2.54,-3.75,-2.86,2.31,3.41,-3.4
8.43,5.86,6.34,3.42,0.34,0.87,-4.65,-0.68,-3.37,-1.88,1.01,-0.15,4.57,1.63,-0.13,-1.31,-4.14,-2.9,7.72,3.34,-3.18
4.87,6.2,3.09,4.19,-0.67,0.48,-5.57,-1.26,-4.58,-3.76,3.13,1.35,0.28,4.14,-0.1,0.61,-5.34,-3.08,4.73,0.93,-3.55
5.86,6.31,2.36,4.56,0.43,1.01,-3.0,-0.65,-3.0,-3.8,0.25,2.54,1.45,5.21,4.68,1.15,-3.84,-2.77,5.59,0.82,-1.66
1.93,1.16,0.37,2.42,0.31,0.28,-0.4,-0.41,-0.87,-2.25,-0.86,3.43,0.24,3.91,4.75,2.75,-3.87,-2.02,1.93,0.46,0.45
2.82,4.42,-0.03,3.02,-0.86,0.7,-0.71,-0.22,-1.04,-2.02,-1.28,2.48,-0.94,6.77,1.97,3.04,-5.13,-1.88,2.14,0.28,0.02
2.32,2.68,0.99,3.16,0.12,0.33,0.31,-1.46,-1.69,-2.36,-4.32,2.31,-1.89,4.68,-4.55,0.03,-5.72,-4.2,2.13,1.45,-0.95
2.35,2.4,0.62,2.11,-0.77,-0.64,-2.92,-3.8,-5.42,-6.34,-3.23,-3.27,-0.71,1.88,-5.55,-0.43,-9.75,-5.89,2.68,1.46,-3.78
0.11,2.0,-0.45,1.52,-0.36,0.3,-4.09,-4.31,-6.13,-7.27,-3.81,0.41,-3.69,2.76,-6.88,1.92,-9.46,-8.35,0.49,2.44,-4.45
1.77,-0.6,-0.26,2.02,-0.73,1.33,-6.08,-4.9,-7.75,-7.92,-6.72,-8.64,-4.31,0.35,-7.07,1.74,-10.31,-7.12,2.27,2.12,-5.28
0.66,-1.52,0.36,-0.93,0.2,0.32,-4.85,-2.11,-7.09,-6.19,-8.77,-5.55,-3.55,-1.64,-3.05,-4.06,-10.78,-6.34,-0.04,2.36,-4.12
-0.57,-4.38,-1.09,-2.33,-0.27,-0.06,-4.33,-1.1,-4.74,-5.26,-9.82,-7.14,-4.77,-3.7,-4.89,-5.71,-10.08,-7.28,-0.63,2.49,-2.59
-2.34,-3.35,-1.19,-1.07,-1.24,2.26,-4.28,1.8,-3.34,-2.74,-9.36,-6.31,-7.75,-3.27,-9.37,-2.83,-9.19,-5.01,-1.79,2.57,-1.31
-1.23,-1.26,-1.23,-0.67,-2.73,1.28,-6.57,0.53,-5.73,-4.26,-11.39,-4.69,-9.44,-4.01,-11.1,-5.94,-11.98,-6.51,0.28,1.89,-3.29
-2.11,-3.53,-0.26,-0.48,-3.18,3.01,-8.51,0.54,-5.88,-4.8,-10.72,-6.65,-8.25,-2.73,-9.94,-0.74,-11.55,-4.05,-1.08,0.68,-5.49
0.07,0.1,-0.91,2.17,-3.3,3.47,-8.75,-0.84,-6.18,-4.31,-11.16,-5.33,-8.72,0.02,-10.74,-0.06,-10.75,-2.82,0.93,-0.46,-7.03
-1.42,-0.54,-1.62,3.49,-3.86,4.82,-8.46,-0.91,-5.79,-5.53,-9.83,-5.38,-8.56,-0.76,-6.96,3.43,-8.13,-1.8,-0.91,-0.9,-7.07
-0.87,-1.6,-1.63,2.54,-3.76,4.29,-7.69,0.04,-3.71,-5.17,-7.76,-5.79,-6.04,-0.02,-3.86,4.24,-7.23,0.23,-0.64,-3.54,-6.47
0.6,1.02,0.38,7.14,-4.82,5.25,-7.69,0.45,-4.11,-4.15,-3.87,0.02,-4.2,4.72,-2.34,5.0,-5.5,3.08,0.85,-2.5,-5.98
-0.19,0.78,-1.81,7.58,-8.1,7.68,-8.71,3.89,-4.98,-0.48,-4.07,1.03,-7.76,4.21,-8.05,8.74,-8.32,7.6,0.39,-2.7,-5.26
3.43,5.81,1.09,9.14,-8.15,8.05,-11.32,3.38,-7.55,-1.88,-1.63,4.45,-6.22,8.67,-6.78,9.21,-9.01,8.64,3.79,-2.18,-7.12
3.63,6.33,0.25,10.11,-6.66,7.27,-10.6,1.16,-8.55,-2.87,-1.52,6.49,-5.11,10.2,-6.14,11.84,-7.93,8.73,3.96,-2.66,-9.29
-1.1,1.26,-2.31,7.78,-6.92,7.89,-9.26,1.92,-6.03,-2.4,-2.31,5.12,-5.24,8.11,-5.63,13.39,-4.77,8.56,-0.75,-3.49,-9.01
1.3,0.22,0.44,7.15,-5.0,5.64,-6.88,0.86,-5.32,-4.82,-2.74,0.49,-4.07,6.0,-1.6,8.37,-3.49,4.77,1.69,-3.51,-8.27
3.6,2.46,2.12,7.6,-3.54,3.65,-4.66,0.68,-2.34,-2.61,-1.67,3.53,-1.03,5.51,3.95,7.57,-1.35,4.73,2.6,-3.63,-8.5
1.58,2.28,-0.03,7.34,-5.3,5.19,-5.76,0.88,-2.68,-3.12,-1.14,-1.79,-4.35,3.94,-2.64,8.77,-1.04,4.13,1.8,-2.64,-8.47
2.8,3.65,0.68,5.79,-3.97,4.7,-2.08,2.08,2.73,1.23,1.6,2.93,-3.83,5.24,-1.66,4.77,2.56,5.97,2.92,-1.43,-5.96
0.88,2.78,-1.74,4.7,-3.97,5.02,-1.52,3.92,4.86,5.11,1.31,2.96,-5.03,5.02,-2.61,7.94,3.85,9.68,1.36,-3.52,-4.74
0.62,3.58,-3.25,6.39,-3.97,4.56,-2.38,1.24,2.89,1.1,-0.49,2.69,-7.0,6.99,-4.21,6.41,3.15,7.36,0.48,-3.05,-7.22
-1.22,-1.78,-3.64,3.34,-3.85,3.45,-1.54,2.25,2.36,1.44,-2.64,4.69,-9.4,4.08,-5.98,7.61,1.27,8.0,-0.85,-3.1,-4.87
-1.62,0.63,-4.54,3.08,-4.36,5.36,-2.2,5.69,1.71,3.76,-4.19,2.21,-9.65,4.84,-5.61,10.87,-2.28,10.76,-1.79,-2.92,-4.12
-3.08,-3.21,-4.73,1.77,-4.49,4.44,-1.03,5.54,-0.15,2.0,-6.98,-0.56,-10.21,2.26,-4.31,8.48,-2.4,9.63,-2.5,-2.12,-3.3
-5.53,-8.79,-4.77,-2.43,-2.35,2.58,2.07,6.07,2.07,4.39,-8.41,-5.57,-9.73,-3.94,-3.63,3.56,-1.22,8.88,-4.53,-0.53,-0.46
-7.03,-11.76,-5.67,-5.28,-0.82,1.33,4.11,6.64,3.33,4.55,-7.85,-9.64,-10.58,-8.16,-5.91,4.82,0.37,7.21,-5.02,-0.15,0.29
-7.33,-9.47,-6.17,-2.45,-0.98,0.3,1.34,3.9,2.28,3.07,-10.43,-7.64,-10.63,-5.61,-5.79,0.31,0.49,4.23,-6.38,-0.68,-1.52
-5.53,-8.49,-6.47,0.4,-0.68,1.17,0.91,4.32,3.0,4.71,-8.77,-6.99,-9.72,-5.0,-3.58,0.2,1.1,5.31,-4.3,1.26,-0.82
-6.17,-4.07,-6.01,1.25,-2.04,2.94,-1.27,6.43,0.74,5.0,-6.04,-4.47,-9.36,-0.18,-7.56,2.61,-1.24,7.0,-5.12,1.16,-1.19
-5.01,-6.18,-4.57,-0.46,-2.72,2.54,-0.72,7.73,1.46,6.46,-3.12,-3.43,-6.06,-1.1,-3.12,0.87,-1.8,6.12,-4.24,0.75,0.14
-4.29,-4.21,-2.5,-1.04,-1.62,1.6,-0.76,6.58,0.39,3.97,-7.85,-8.05,-6.48,-1.59,-1.27,3.28,-1.89,6.16,-3.4,2.08,0.86
-1.74,-4.6,-2.24,-1.54,-1.13,1.06,0.3,6.7,0.25,3.93,-5.83,-7.16,-5.55,-2.78,-2.1,2.26,-1.14,5.48,-1.24,2.0,0.6
-5.11,-6.52,-3.24,-1.1,-1.21,0.38,0.42,3.81,-0.31,1.31,-10.5,-8.29,-7.58,-2.01,-3.97,-0.31,-1.06,3.17,-3.36,3.18,0.5
-3.76,-6.89,-3.5,-0.39,-0.21,0.28,0.21,3.32,-0.49,1.14,-10.74,-9.14,-8.79,-3.35,-3.38,-0.34,-0.52,2.88,-2.79,3.65,1.39
-5.84,-9.42,-5.12,-1.41,-1.78,0.18,-3.21,0.35,-7.05,-5.02,-13.8,-12.98,-11.16,-6.28,-7.93,-1.71,-5.79,-2.67,-5.01,4.11,-1.77
-5.08,-8.99,-4.41,0.5,-0.05,0.44,-1.93,-1.52,-7.02,-6.29,-12.29,-11.49,-13.79,-5.2,-8.71,-6.64,-7.13,-5.67,-3.53,5.81,-0.64
-5.82,-8.68,-4.53,-0.82,-0.28,-0.68,-2.98,-3.5,-8.32,-8.64,-18.08,-17.52,-14.1,-6.48,-6.01,-7.64,-8.54,-8.86,-5.07,4.79,-1.46
-5.72,-13.4,-4.84,-0.96,0.52,-0.13,-1.86,-2.32,-6.52,-6.87,-17.95,-18.44,-13.46,-8.87,-6.31,-8.02,-5.66,-7.54,-4.04,4.65,-1.19
-6.71,-11.96,-2.84,-1.45,0.76,-0.57,-3.96,-5.19,-9.12,-9.7,-19.5,-19.58,-12.09,-8.56,-7.84,-8.89,-7.87,-9.47,-5.06,5.3,-3.65
-5.35,-14.25,-3.34,-2.07,-0.63,-0.58,-4.52,-2.75,-8.63,-8.62,-17.19,-18.95,-10.55,-9.59,-8.58,-7.11,-9.2,-7.08,-3.94,5.24,-3.98
-6.81,-15.12,-3.97,-2.35,-0.34,0.38,-2.85,-0.59,-6.49,-5.01,-17.49,-18.61,-13.83,-10.66,-7.62,-6.17,-8.05,-3.39,-4.62,6.62,-1.47
-4.74,-11.9,-3.68,-0.77,-0.64,1.0,-1.22,2.11,-5.56,-3.03,-14.09,-16.6,-13.67,-9.37,-10.72,-5.4,-7.04,-0.38,-3.29,6.57,-0.4
-2.98,-8.63,-3.1,-1.82,0.45,-0.28,2.23,1.42,-2.7,-1.7,-13.54,-14.54,-11.14,-9.76,-7.53,-7.94,-4.07,-2.18,-2.02,5.71,0.99
-4.17,-13.43,-3.63,-3.67,1.28,-0.71,2.03,-0.51,-6.74,-4.41,-11.59,-16.27,-11.48,-11.58,-9.44,-6.69,-5.6,-5.69,-2.93,5.74,0.58
-4.33,-12.76,-3.46,-2.31,0.29,-0.94,-1.82,-3.03,-10.7,-8.55,-16.18,-15.43,-10.82,-10.2,-7.29,-8.41,-8.89,-8.88,-3.66,4.1,-2.69
-3.65,-12.82,-1.62,-2.57,2.18,-2.37,0.04,-3.4,-10.01,-7.6,-13.69,-16.1,-9.65,-10.68,-4.49,-12.92,-8.62,-8.43,-2.2,5.35,-1.54
-2.99,-7.93,-1.07,-3.26,2.25,-3.3,-0.23,-3.13,-9.06,-6.38,-10.41,-14.51,-8.44,-9.13,-4.8,-11.0,-8.17,-7.35,-2.74,5.71,-0.92
-0.36,-8.16,0.34,-3.57,2.77,-3.1,1.06,-0.84,-4.8,-2.17,-8.7,-15.04,-7.1,-9.31,-6.11,-10.34,-4.81,-4.9,0.01,6.38,1.32
-0.83,-6.87,-1.15,-3.6,1.97,-3.37,1.15,-0.26,-4.79,-1.67,-8.9,-15.05,-6.76,-8.7,-7.5,-9.49,-5.35,-5.15,-1.16,6.91,1.79
0.33,-5.55,-1.28,-1.64,2.41,-2.31,0.68,-0.78,-4.34,-0.76,-8.78,-10.52,-4.86,-5.22,-5.09,-6.68,-4.49,-4.8,0.25,6.06,0.45
-5.54,-7.47,-5.19,-1.67,0.49,-2.01,-0.29,-3.47,-5.22,-3.5,-10.12,-14.13,-9.77,-4.76,-5.13,-8.44,-4.7,-8.17,-4.85,5.15,-1.11
-4.18,-7.34,-5.22,-0.83,0.96,-1.77,-1.2,-4.43,-4.55,-4.72,-10.29,-14.71,-8.88,-3.94,-0.58,-8.28,-3.87,-8.41,-4.09,4.44,-3.0
-4.53,-6.62,-4.63,-1.61,1.18,-1.23,-0.98,-4.41,-3.83,-3.73,-9.16,-11.71,-7.92,-4.33,-1.74,-9.11,-2.66,-7.21,-4.09,3.92,-3.25
-2.52,-9.23,-3.11,-3.08,0.43,-0.99,-1.84,-3.95,-4.31,-3.59,-7.42,-10.52,-7.61,-5.04,-5.72,-9.0,-3.52,-8.53,-2.27,3.76,-2.53
-3.09,-7.33,-1.11,-2.66,-0.1,-0.06,-3.12,-2.83,-5.46,-3.32,-8.47,-11.69,-8.78,-5.25,-6.4,-3.54,-5.12,-8.08,-3.01,2.89,-3.5
-1.86,-8.07,0.12,-2.34,-0.39,-0.02,-2.0,-0.7,-3.86,-0.68,-5.39,-10.98,-7.24,-3.26,-6.8,-2.69,-4.24,-4.48,-0.69,2.14,-3.42
-2.96,-7.33,-0.52,-3.04,-0.64,-0.16,-2.1,0.43,-1.49,1.65,-2.91,-11.17,-6.03,-4.34,-6.19,-6.39,-4.61,-2.82,-2.76,4.1,-1.36
-2.43,-7.42,-1.5,-3.18,-0.42,-0.77,-0.86,1.01,0.84,4.04,-5.08,-7.96,-7.42,-4.01,-7.3,-5.96,-4.63,-3.03,-2.24,4.45,-0.43
-5.0,-12.68,-2.49,-5.74,0.37,-0.2,1.2,3.63,3.19,6.8,-5.47,-8.39,-7.59,-5.64,-4.09,-5.97,-3.96,-0.81,-5.19,4.7,2.43
-4.46,-11.81,-2.79,-5.71,0.33,-0.28,1.49,3.55,3.07,6.13,-7.71,-7.58,-6.33,-4.76,-1.18,-4.62,-4.48,-0.7,-5.46,3.39,2.08
-5.61,-10.38,-4.17,-5.82,-0.97,-0.42,1.41,2.65,2.65,5.68,-5.16,-6.89,-6.42,-3.39,-3.33,-2.77,-4.8,0.03,-5.91,1.38,1.02
-3.09,-6.49,-3.09,-5.38,2.45,-2.06,4.23,2.13,2.92,4.0,-3.14,-8.44,-5.03,-4.11,-2.34,-4.79,-2.41,-0.12,-3.9,3.1,1.99
-4.47,-12.05,-1.6,-4.06,2.78,-3.67,3.94,-0.69,2.08,2.47,-3.25,-8.09,-1.75,-5.16,-2.63,-8.33,-1.74,-2.5,-4.55,3.41,1.79
-0.96,-6.79,0.57,-1.6,2.85,-2.85,3.85,-1.81,0.52,0.76,-6.44,-11.57,-0.27,-3.58,-3.4,-9.01,-1.85,-6.55,-0.83,2.76,1.18
2.01,-1.45,1.31,-1.42,2.6,-1.97,2.76,-3.39,0.2,-0.65,-3.37,-12.64,-0.98,-5.45,-3.04,-9.27,-0.05,-8.84,1.04,2.23,0.67
8.56,3.35,4.87,0.22,1.99,-1.85,1.46,-4.01,-0.46,-1.95,-5.56,-15.65,2.01,-2.64,-1.24,-11.31,-1.72,-9.97,6.23,1.03,-1.35
8.4,11.0,3.25,2.71,0.14,-0.62,-1.51,-4.49,-2.19,-3.92,-6.77,-16.27,4.21,4.14,-1.88,-7.82,-3.59,-11.9,5.9,0.64,-2.78
11.01,14.74,0.34,2.69,-2.2,1.2,-3.65,-2.8,-2.88,-2.86,-11.87,-18.44,0.96,5.13,-4.7,-4.93,-6.38,-8.35,8.27,0.06,-2.95
16.5,24.21,1.33,5.76,-1.9,0.43,-3.6,-3.77,-3.23,-2.27,-11.61,-13.05,3.4,11.83,-4.51,-5.05,-8.62,-8.26,11.32,1.73,-2.92
25.88,35.84,5.78,8.2,-1.69,0.57,-5.86,-4.47,-5.9,-3.21,-10.58,-17.04,11.33,14.3,-2.26,-2.9,-10.46,-9.3,20.02,1.39,-4.02
39.74,57.16,9.94,15.62,-1.7,2.35,-7.3,-5.93,-7.75,-5.45,-10.6,-12.81,14.81,22.66,-2.26,-3.74,-11.71,-9.77,31.25,2.58,-5.66
48.18,70.09,15.29,18.38,-0.78,-0.06,-7.34,-8.6,-8.76,-8.94,-9.89,-16.27,22.54,23.81,-0.68,-8.06,-11.03,-14.29,39.61,2.53,-8.04
51.59,78.4,17.53,21.12,-1.96,0.25,-9.34,-10.64,-10.35,-11.15,-13.56,-24.88,24.81,27.37,-0.73,-3.91,-12.14,-15.71,41.65,1.06,-10.24
54.76,82.11,18.16,23.33,-2.75,2.94,-8.69,-8.21,-8.28,-10.13,-17.65,-25.49,25.45,27.59,0.36,-1.87,-10.33,-12.86,44.8,1.19,-10.42
60.52,93.15,18.58,24.17,-2.23,0.78,-6.99,-9.09,-8.1,-10.39,-17.57,-28.78,28.41,31.28,2.12,-4.31,-9.08,-13.24,48.0,-0.39,-10.0
60.7,92.07,21.85,21.46,3.08,-3.56,-2.58,-9.36,-4.69,-9.43,-17.9,-24.77,31.16,28.58,5.46,-10.83,-4.37,-14.15,49.04,-1.68,-7.95
62.36,96.01,22.84,21.17,4.85,-4.26,-0.36,-9.93,-3.12,-8.0,-15.64,-27.82,36.17,29.87,5.96,-8.39,-2.15,-14.58,49.44,-2.88,-8.3
63.72,96.54,23.54,20.87,5.61,-6.06,-0.77,-10.02,-2.85,-6.51,-11.32,-28.82,35.89,26.2,8.64,-12.13,-2.59,-14.26,51.11,-4.26,-8.57
54.14,84.0,20.92,19.03,3.53,-5.25,-2.1,-9.71,-5.28,-6.74,-17.08,-29.22,27.36,19.26,3.94,-12.53,-4.21,-14.32,44.17,-2.08,-8.73
60.5,95.43,24.0,23.07,2.8,-3.22,-6.95,-12.13,-10.64,-11.84,-14.55,-33.44,32.47,24.61,6.15,-6.13,-9.84,-17.0,49.7,-1.8,-12.08
55.48,87.24,23.11,21.24,3.1,-4.04,-7.84,-12.87,-13.49,-14.81,-20.24,-35.98,26.68,16.84,1.2,-15.91,-14.06,-20.4,46.25,0.28,-11.66
49.13,70.32,21.81,18.11,4.86,-4.69,-4.2,-12.69,-11.13,-15.21,-23.12,-39.8,22.15,9.17,-1.76,-17.66,-14.46,-23.71,41.29,2.68,-8.36
43.58,64.57,20.76,15.6,7.16,-7.17,-2.38,-14.31,-10.52,-15.89,-22.47,-39.87,21.33,7.51,-3.45,-17.73,-12.12,-24.92,36.45,2.24,-7.76
39.67,55.94,16.32,14.07,5.78,-6.34,-0.44,-12.48,-8.62,-13.91,-22.42,-35.53,15.74,7.14,-4.38,-16.28,-8.95,-20.28,32.57,1.96,-6.34
34.84,53.32,13.78,14.42,3.8,-5.06,-1.37,-12.69,-8.61,-14.54,-20.87,-30.5,13.19,9.79,-0.8,-11.13,-6.69,-21.58,29.05,1.0,-7.5
32.62,56.19,10.64,17.83,0.28,-1.59,-2.12,-11.98,-7.45,-15.61,-23.53,-28.32,10.59,16.38,-0.88,-9.31,-5.14,-19.16,28.76,1.35,-7.94
30.93,50.68,10.06,17.66,-0.52,0.7,-2.22,-7.95,-3.86,-9.07,-13.89,-21.07,11.57,13.54,-0.85,-7.35,-3.07,-13.25,26.05,1.34,-6.44
26.03,41.04,10.1,14.03,0.78,-0.15,-1.88,-6.98,-0.94,-5.71,-10.46,-21.99,12.66,7.67,3.37,-6.36,0.12,-10.57,22.82,0.78,-5.61
21.97,32.45,10.59,11.0,2.9,-2.57,0.93,-6.97,2.29,-3.75,-9.32,-17.57,12.52,5.84,4.94,-7.42,3.1,-9.85,18.27,-0.08,-4.49
20.11,34.66,9.75,10.98,3.01,-3.15,-0.53,-7.94,2.29,-3.87,-3.22,-13.4,12.41,8.95,5.14,-4.79,4.86,-8.81,17.79,-1.91,-6.58
14.31,27.61,8.68,9.22,2.46,-3.66,-1.01,-8.26,1.05,-3.97,-5.3,-12.53,13.17,5.7,9.85,-5.59,2.92,-9.4,12.33,-2.61,-6.44
13.4,24.49,7.6,7.36,2.61,-1.71,0.68,-4.2,3.2,0.75,-3.46,-13.35,11.82,3.47,7.48,-4.94,2.67,-7.35,11.25,-1.21,-1.98
5.53,13.43,3.28,3.15,1.56,-2.43,-1.14,-4.41,-0.58,-1.37,-7.58,-16.64,5.3,-1.94,1.24,-7.27,-3.17,-8.37,4.1,0.09,-1.5
7.5,14.74,3.46,2.81,3.75,-3.67,-0.44,-5.78,-3.34,-3.41,-5.32,-14.52,8.0,-0.59,2.31,-8.49,-4.06,-10.1,5.61,0.55,-2.7
1.82,8.3,-0.04,0.67,3.49,-4.13,-0.05,-7.02,-3.83,-4.55,-6.73,-12.77,3.34,-2.11,-0.66,-9.73,-4.0,-11.8,0.89,-1.14,-3.99
-0.59,6.41,-2.46,1.57,2.93,-3.27,0.78,-5.77,-2.84,-3.52,-3.0,-10.34,0.26,-1.24,2.6,-7.6,-3.12,-9.25,-0.39,-1.71,-3.51
-2.1,6.89,-3.56,2.87,1.97,-1.53,0.69,-4.99,-0.82,-1.0,0.24,-5.69,-0.38,0.23,0.14,-0.55,0.43,-5.42,-1.71,-2.66,-4.04
-2.32,3.32,-2.89,1.96,0.24,-0.71,-1.54,-6.13,-2.29,-1.69,-0.77,-5.87,0.61,-1.18,5.79,1.04,-1.03,-3.9,-2.53,-3.13,-4.77
-2.0,2.45,-1.2,2.32,-0.55,0.26,-3.63,-5.52,-1.54,-3.76,2.26,-2.23,-0.13,-0.82,3.02,0.04,-1.04,-2.84,-2.9,-1.84,-5.8
0.99,3.81,0.81,2.73,-0.51,0.98,-5.75,-6.67,-3.58,-5.1,5.33,1.64,1.84,2.16,0.27,1.61,-1.54,-3.04,0.61,-0.9,-7.68
